City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,38.23,81,14,9.37,GS,1698703487
1,pimenta bueno,-11.6725,-61.1936,83.14,62,71,6.42,BR,1698703488
2,margaret river,-33.95,115.0667,48.52,90,47,8.84,AU,1698703488
3,kuanda,56.3161,116.0806,9.19,55,37,0.65,RU,1698703489
4,puerto natales,-51.7236,-72.4875,44.08,51,64,3.78,CL,1698703489
5,port-aux-francais,-49.35,70.2167,37.04,92,99,39.71,TF,1698703490
6,udachny,66.4167,112.4,-6.16,100,96,4.47,RU,1698703239
7,waitangi,-43.9535,-176.5597,57.81,84,100,15.01,NZ,1698703491
8,mount pearl,47.5166,-52.7813,38.84,74,100,10.36,CA,1698703491
9,tazovsky,67.4667,78.7,1.45,96,23,3.96,RU,1698703430
10,ipora,-16.4419,-51.1178,87.17,32,92,3.47,BR,1698703492
11,west island,-12.1568,96.8225,78.78,83,40,14.97,CC,1698703440
12,lethbridge,49.7,-112.8186,36.57,69,75,5.75,CA,1698703320
13,bredasdorp,-34.5322,20.0403,57.42,74,0,16.11,ZA,1698703493
14,peterhead,57.5058,-1.7981,43.2,59,16,21.0,GB,1698703493
15,yellowknife,62.456,-114.3525,32.41,93,75,9.22,CA,1698703287
16,saipan,15.1355,145.701,83.1,89,40,11.5,MP,1698703494
17,college,64.8569,-147.8028,35.46,82,100,0.0,US,1698703467
18,manismata,-2.4667,111.0333,74.32,98,79,2.17,ID,1698703495
19,northam,51.0333,-4.2167,53.65,94,100,18.19,GB,1698703496
20,ushuaia,-54.8,-68.3,40.66,60,75,20.71,AR,1698703256
21,dul'durga,50.6761,113.5931,14.88,99,89,2.64,RU,1698703496
22,port saint john's,-31.6229,29.5448,57.04,86,91,7.85,ZA,1698703497
23,port elizabeth,-33.918,25.5701,59.31,84,75,14.97,ZA,1698703404
24,wailua homesteads,22.0669,-159.378,83.19,71,40,10.36,US,1698703494
25,blackmans bay,-43.0167,147.3167,50.74,65,24,5.99,AU,1698703498
26,chilmari,25.5559,89.6715,70.74,83,52,6.35,BD,1698703499
27,adamstown,-25.066,-130.1015,73.38,73,100,8.77,PN,1698703499
28,pisco,-13.7,-76.2167,73.45,64,79,23.02,PE,1698703342
29,puerto ayora,-0.7393,-90.3518,80.56,91,100,5.01,EC,1698703500
30,yigo village,13.5361,144.8886,83.52,84,40,10.36,GU,1698703500
31,novobelokatay,55.7062,58.9549,26.87,97,94,5.95,RU,1698703501
32,isafjordur,66.0755,-23.124,35.51,74,76,5.35,IS,1698703501
33,eirunepe,-6.6603,-69.8736,84.52,68,100,1.7,BR,1698703502
34,mar del plata,-38.0023,-57.5575,55.42,56,0,13.8,AR,1698703503
35,margate,51.3813,1.3862,49.89,93,100,9.69,GB,1698703471
36,rundu,-17.9333,19.7667,77.04,47,3,11.01,NA,1698703506
37,saldanha,-33.0117,17.9442,62.65,69,0,20.51,ZA,1698703506
38,richards bay,-28.783,32.0377,58.39,84,97,8.14,ZA,1698703508
39,iqaluit,63.7506,-68.5145,10.13,72,75,24.16,CA,1698703495
40,iskateley,67.6803,53.1512,20.01,95,98,10.0,RU,1698703509
41,ribeira grande,38.5167,-28.7,67.77,77,40,14.97,PT,1698703509
42,happy valley-goose bay,53.3168,-60.3315,32.31,40,40,14.97,CA,1698703221
43,papatowai,-46.5619,169.4708,64.08,49,100,1.95,NZ,1698703510
44,aljustrel,37.8776,-8.1652,57.07,66,100,1.72,PT,1698703511
45,bethel,41.3712,-73.414,55.27,86,100,10.36,US,1698703495
46,susuman,62.7833,148.1667,1.98,97,22,1.01,RU,1698703512
47,baotou,40.6522,109.8222,50.43,41,22,3.53,CN,1698703513
48,neijiang,29.5835,105.0622,64.53,81,100,4.72,CN,1698703513
49,horta,38.5333,-28.6333,67.01,80,40,15.01,PT,1698703316
50,olonkinbyen,70.9221,-8.7187,34.61,72,100,11.7,SJ,1698703514
51,crane,31.3974,-102.3501,44.83,36,59,7.72,US,1698703226
52,el eulma,36.1528,5.6902,63.21,54,84,2.37,DZ,1698703515
53,palmer,42.1584,-72.3287,50.63,86,75,4.61,US,1698703294
54,edinburgh of the seven seas,-37.0676,-12.3116,55.06,90,92,29.97,SH,1698703517
55,hadibu,12.65,54.0333,79.36,75,100,12.37,YE,1698703517
56,fale old settlement,-9.3852,-171.2468,82.94,78,51,14.79,TK,1698703230
57,yerofey pavlovich,53.9667,121.9667,16.11,60,100,1.48,RU,1698703518
58,costa rica,-23.4167,-54.65,73.81,90,72,10.92,BR,1698703519
59,ciudad bolivar,8.1222,-63.5497,91.54,46,99,2.15,VE,1698703520
60,hamilton,39.1834,-84.5333,46.74,82,100,11.5,US,1698703160
61,port alfred,-33.5906,26.891,57.18,95,31,3.0,ZA,1698703515
62,stanley,54.868,-1.6985,44.76,96,75,4.61,GB,1698703522
63,punta arenas,-53.15,-70.9167,44.71,57,0,13.8,CL,1698703522
64,avarua,-21.2078,-159.775,77.05,73,75,19.57,CK,1698703523
